id,division_code,data_time,year,month,day,aqi,a34004,a34002,a21026,a05024,a21005,a21004
4201000000002018022400,420100000000,2018-02-24 00:00:00,2018,2,24,77,52,103,14,62,1.2,42
4201000000002018022500,420100000000,2018-02-25 00:00:00,2018,2,25,112,84,120,7,64,1.2,49
4201000000002018022600,420100000000,2018-02-26 00:00:00,2018,2,26,100,75,84,11,96,1.2,58
4201000000002018022700,420100000000,2018-02-27 00:00:00,2018,2,27,69,30,45,10,23,1.2,55
4201000000002018022800,420100000000,2018-02-28 00:00:00,2018,2,28,54,37,57,5,94,"1.0",40
4201000000002018030100,420100000000,2018-03-01 00:00:00,2018,3,1,74,54,66,9,50,1.2,46
4201000000002018030200,420100000000,2018-03-02 00:00:00,2018,3,2,78,57,66,7,49,1.4,45
4201000000002018030300,420100000000,2018-03-03 00:00:00,2018,3,3,88,65,80,9,45,1.7,52
4201000000002018030400,420100000000,2018-03-04 00:00:00,2018,3,4,53,37,54,9,20,1.5,39
4201000000002018030500,420100000000,2018-03-05 00:00:00,2018,3,5,37,24,37,4,66,"0.9",26
4201000000002018030600,420100000000,2018-03-06 00:00:00,2018,3,6,49,32,43,7,51,"0.9",39
4201000000002018030700,420100000000,2018-03-07 00:00:00,2018,3,7,42,29,27,4,53,"0.6",30
4201000000002018030800,420100000000,2018-03-08 00:00:00,2018,3,8,60,43,52,5,68,"0.7",44
4201000000002018030900,420100000000,2018-03-09 00:00:00,2018,3,9,77,55,87,9,101,"1.0",61
4201000000002018031000,420100000000,2018-03-10 00:00:00,2018,3,10,80,53,96,16,106,"1.0",64
4201000000002018031100,420100000000,2018-03-11 00:00:00,2018,3,11,101,50,116,22,73,1.2,82
4201000000002018031200,420100000000,2018-03-12 00:00:00,2018,3,12,101,55,121,12,111,1.2,82
4201000000002018031300,420100000000,2018-03-13 00:00:00,2018,3,13,101,67,125,14,96,1.2,82
4201000000002018031400,420100000000,2018-03-14 00:00:00,2018,3,14,73,53,71,9,80,"1.0",46
4201000000002018031500,420100000000,2018-03-15 00:00:00,2018,3,15,67,48,77,9,94,"1.0",47
4201000000002018031600,420100000000,2018-03-16 00:00:00,2018,3,16,48,27,48,5,56,"0.7",31
4201000000002018031700,420100000000,2018-03-17 00:00:00,2018,3,17,55,37,53,9,39,1.2,44
4201000000002018031800,420100000000,2018-03-18 00:00:00,2018,3,18,38,24,22,3,41,"0.9",30
4201000000002018031900,420100000000,2018-03-19 00:00:00,2018,3,19,62,44,36,3,38,"1.0",31
4201000000002018032000,420100000000,2018-03-20 00:00:00,2018,3,20,63,45,68,4,92,"0.9",33
4201000000002018032100,420100000000,2018-03-21 00:00:00,2018,3,21,83,42,76,7,76,"0.7",66
4201000000002018032200,420100000000,2018-03-22 00:00:00,2018,3,22,104,65,114,8,73,1.2,88
4201000000002018032300,420100000000,2018-03-23 00:00:00,2018,3,23,99,59,130,15,105,1.4,79
4201000000002018032400,420100000000,2018-03-24 00:00:00,2018,3,24,86,52,121,16,78,"1.0",67
4201000000002018032500,420100000000,2018-03-25 00:00:00,2018,3,25,79,50,92,10,91,"1.0",63
4201000000002018032600,420100000000,2018-03-26 00:00:00,2018,3,26,78,46,92,6,123,"1.0",62
4201000000002018032700,420100000000,2018-03-27 00:00:00,2018,3,27,90,44,98,8,128,"1.0",72
4201000000002018032800,420100000000,2018-03-28 00:00:00,2018,3,28,100,52,126,12,137,1.2,80
4201000000002018032900,420100000000,2018-03-29 00:00:00,2018,3,29,109,60,145,21,73,1.4,97
4201000000002018033000,420100000000,2018-03-30 00:00:00,2018,3,30,120,91,147,9,153,1.2,51
4201000000002018033100,420100000000,2018-03-31 00:00:00,2018,3,31,108,81,150,8,131,1.2,81
4201000000002018040100,420100000000,2018-04-01 00:00:00,2018,4,1,127,96,183,10,124,1.7,105
4201000000002018040200,420100000000,2018-04-02 00:00:00,2018,4,2,83,61,114,8,124,1.2,60
4201000000002018040300,420100000000,2018-04-03 00:00:00,2018,4,3,85,53,120,13,140,1.4,56
4201000000002018040400,420100000000,2018-04-04 00:00:00,2018,4,4,119,48,187,8,48,"1.0",31
4201000000002018040500,420100000000,2018-04-05 00:00:00,2018,4,5,39,25,39,3,52,"0.7",23
4201000000002018040600,420100000000,2018-04-06 00:00:00,2018,4,6,98,33,146,5,95,"0.6",24
4201000000002018040700,420100000000,2018-04-07 00:00:00,2018,4,7,89,26,127,7,102,"0.6",39
4201000000002018040800,420100000000,2018-04-08 00:00:00,2018,4,8,94,38,138,8,126,"0.6",54
4201000000002018040900,420100000000,2018-04-09 00:00:00,2018,4,9,95,46,140,12,134,"1.0",69
4201000000002018041000,420100000000,2018-04-10 00:00:00,2018,4,10,108,57,144,10,168,"1.0",67
4201000000002018041100,420100000000,2018-04-11 00:00:00,2018,4,11,107,72,164,11,90,1.4,84
4201000000002018041200,420100000000,2018-04-12 00:00:00,2018,4,12,83,61,88,6,53,1.4,46
4201000000002018041300,420100000000,2018-04-13 00:00:00,2018,4,13,35,21,35,3,62,"0.9",27
4201000000002018041400,420100000000,2018-04-14 00:00:00,2018,4,14,60,25,70,3,75,"0.7",28
4201000000002018041500,420100000000,2018-04-15 00:00:00,2018,4,15,305,66,424,6,98,"0.9",56
4201000000002018041600,420100000000,2018-04-16 00:00:00,2018,4,16,206,71,354,8,118,"0.9",70
4201000000002018041700,420100000000,2018-04-17 00:00:00,2018,4,17,139,58,227,10,140,"1.0",59
4201000000002018041800,420100000000,2018-04-18 00:00:00,2018,4,18,112,60,174,15,152,"1.0",54
4201000000002018041900,420100000000,2018-04-19 00:00:00,2018,4,19,98,49,135,17,157,"1.0",55
4201000000002018042000,420100000000,2018-04-20 00:00:00,2018,4,20,88,58,126,17,143,"1.0",49
4201000000002018042100,420100000000,2018-04-21 00:00:00,2018,4,21,57,40,64,5,76,"1.0",32
4201000000002018042200,420100000000,2018-04-22 00:00:00,2018,4,22,60,35,70,10,38,1.2,36
4201000000002018042300,420100000000,2018-04-23 00:00:00,2018,4,23,34,21,34,2,48,"0.9",20
4201000000002018042400,420100000000,2018-04-24 00:00:00,2018,4,24,62,44,67,3,97,"0.9",23
4201000000002018042500,420100000000,2018-04-25 00:00:00,2018,4,25,61,43,71,8,113,"1.0",36
4201000000002018042600,420100000000,2018-04-26 00:00:00,2018,4,26,69,50,80,8,116,"1.0",44
4201000000002018042700,420100000000,2018-04-27 00:00:00,2018,4,27,96,59,89,6,155,1.2,55
4201000000002018042800,420100000000,2018-04-28 00:00:00,2018,4,28,90,55,88,9,147,1.4,61
4201000000002018042900,420100000000,2018-04-29 00:00:00,2018,4,29,68,48,80,6,92,1.2,54
4201000000002018043000,420100000000,2018-04-30 00:00:00,2018,4,30,73,36,65,5,127,1.2,44
4201000000002018050100,420100000000,2018-05-01 00:00:00,2018,5,1,62,26,48,4,114,"1.0",37
4201000000002018050200,420100000000,2018-05-02 00:00:00,2018,5,2,82,52,102,4,138,"1.0",25
4201000000002018050300,420100000000,2018-05-03 00:00:00,2018,5,3,93,29,93,11,151,"1.0",61
4201000000002018050400,420100000000,2018-05-04 00:00:00,2018,5,4,74,37,86,15,117,"1.0",59
4201000000002018050500,420100000000,2018-05-05 00:00:00,2018,5,5,53,37,55,4,70,"1.0",30
4201000000002018050600,420100000000,2018-05-06 00:00:00,2018,5,6,36,13,25,3,72,"0.9",24
4201000000002018050700,420100000000,2018-05-07 00:00:00,2018,5,7,59,12,27,3,110,"0.6",21
4201000000002018050800,420100000000,2018-05-08 00:00:00,2018,5,8,53,21,48,6,102,"0.7",42
4201000000002018050900,420100000000,2018-05-09 00:00:00,2018,5,9,118,35,92,10,179,"1.0",59
4201000000002018051000,420100000000,2018-05-10 00:00:00,2018,5,10,79,41,79,14,134,"1.0",52
4201000000002018051100,420100000000,2018-05-11 00:00:00,2018,5,11,90,67,82,7,50,1.4,56
4201000000002018051200,420100000000,2018-05-12 00:00:00,2018,5,12,74,40,59,4,128,"1.0",30
4201000000002018051300,420100000000,2018-05-13 00:00:00,2018,5,13,100,40,72,6,159,"0.9",48
4201000000002018051400,420100000000,2018-05-14 00:00:00,2018,5,14,68,42,85,7,107,"1.0",49
4201000000002018051500,420100000000,2018-05-15 00:00:00,2018,5,15,54,25,58,5,99,"0.6",29
4201000000002018051600,420100000000,2018-05-16 00:00:00,2018,5,16,70,23,63,5,124,"0.6",24
4201000000002018051700,420100000000,2018-05-17 00:00:00,2018,5,17,82,29,71,5,138,"0.7",35
4201000000002018051800,420100000000,2018-05-18 00:00:00,2018,5,18,53,23,48,5,79,"1.0",42
4201000000002018051900,420100000000,2018-05-19 00:00:00,2018,5,19,81,23,47,5,137,"1.0",30
4201000000002018052000,420100000000,2018-05-20 00:00:00,2018,5,20,41,23,41,5,57,1.2,31
4201000000002018052100,420100000000,2018-05-21 00:00:00,2018,5,21,47,22,46,4,32,1.2,37
4201000000002018052200,420100000000,2018-05-22 00:00:00,2018,5,22,67,27,83,3,68,"0.7",21
4201000000002018052300,420100000000,2018-05-23 00:00:00,2018,5,23,100,55,150,6,133,"1.0",34
4201000000002018052400,420100000000,2018-05-24 00:00:00,2018,5,24,73,46,96,6,114,1.2,42
4201000000002018052500,420100000000,2018-05-25 00:00:00,2018,5,25,65,39,78,6,117,"1.0",34
4201000000002018052600,420100000000,2018-05-26 00:00:00,2018,5,26,47,14,29,3,93,"1.0",19
4201000000002018052700,420100000000,2018-05-27 00:00:00,2018,5,27,138,66,226,5,133,"0.6",30
4201000000002018052800,420100000000,2018-05-28 00:00:00,2018,5,28,106,44,161,8,108,"0.7",63
4201000000002018052900,420100000000,2018-05-29 00:00:00,2018,5,29,117,59,184,14,123,1.2,83
4201000000002018053000,420100000000,2018-05-30 00:00:00,2018,5,30,72,45,93,7,71,"1.0",52
4201000000002018053100,420100000000,2018-05-31 00:00:00,2018,5,31,58,32,58,4,99,"1.0",46
4201000000002018060100,420100000000,2018-06-01 00:00:00,2018,6,1,106,42,74,7,166,1.2,53
4201000000002018060200,420100000000,2018-06-02 00:00:00,2018,6,2,100,28,50,6,159,"0.9",44
4201000000002018060300,420100000000,2018-06-03 00:00:00,2018,6,3,138,42,75,6,201,"0.9",42
4201000000002018060400,420100000000,2018-06-04 00:00:00,2018,6,4,86,48,83,6,143,"1.0",49
4201000000002018060500,420100000000,2018-06-05 00:00:00,2018,6,5,79,58,87,6,114,"1.0",45
4201000000002018060600,420100000000,2018-06-06 00:00:00,2018,6,6,130,46,84,7,193,"1.0",48
4201000000002018060700,420100000000,2018-06-07 00:00:00,2018,6,7,120,34,66,12,182,1.2,51
4201000000002018060800,420100000000,2018-06-08 00:00:00,2018,6,8,43,23,42,7,77,"1.0",34
4201000000002018060900,420100000000,2018-06-09 00:00:00,2018,6,9,75,29,54,4,130,"1.0",23
4201000000002018061000,420100000000,2018-06-10 00:00:00,2018,6,10,118,27,52,5,179,"1.0",31
4201000000002018061100,420100000000,2018-06-11 00:00:00,2018,6,11,111,32,72,7,172,"0.9",60
4201000000002018061200,420100000000,2018-06-12 00:00:00,2018,6,12,117,39,93,9,178,"1.0",63
4201000000002018061300,420100000000,2018-06-13 00:00:00,2018,6,13,92,29,55,7,150,"0.7",29
4201000000002018061400,420100000000,2018-06-14 00:00:00,2018,6,14,124,31,64,13,186,"1.0",46
4201000000002018061500,420100000000,2018-06-15 00:00:00,2018,6,15,147,35,82,15,211,"1.0",52
4201000000002018061600,420100000000,2018-06-16 00:00:00,2018,6,16,196,48,85,12,261,"1.0",35
4201000000002018061700,420100000000,2018-06-17 00:00:00,2018,6,17,178,48,83,13,243,"1.0",34
4201000000002018061800,420100000000,2018-06-18 00:00:00,2018,6,18,155,48,80,13,220,"1.0",33
4201000000002018061900,420100000000,2018-06-19 00:00:00,2018,6,19,52,36,51,6,75,"1.0",26
4201000000002018062000,420100000000,2018-06-20 00:00:00,2018,6,20,40,21,36,5,79,"0.9",32
4201000000002018062100,420100000000,2018-06-21 00:00:00,2018,6,21,110,33,56,7,170,"1.0",35
4201000000002018062200,420100000000,2018-06-22 00:00:00,2018,6,22,42,24,38,6,81,"1.0",33
4201000000002018062300,420100000000,2018-06-23 00:00:00,2018,6,23,117,27,45,7,178,"1.0",33
4201000000002018062400,420100000000,2018-06-24 00:00:00,2018,6,24,63,27,48,6,115,"1.0",27
4201000000002018062500,420100000000,2018-06-25 00:00:00,2018,6,25,65,18,38,5,117,"0.9",28
4201000000002018062600,420100000000,2018-06-26 00:00:00,2018,6,26,52,16,38,5,102,"0.6",21
4201000000002018062700,420100000000,2018-06-27 00:00:00,2018,6,27,55,18,42,6,106,"0.6",20
4201000000002018062800,420100000000,2018-06-28 00:00:00,2018,6,28,49,26,49,5,77,"1.0",37
4201000000002018062900,420100000000,2018-06-29 00:00:00,2018,6,29,61,28,54,5,113,"1.0",41
4201000000002018063000,420100000000,2018-06-30 00:00:00,2018,6,30,55,22,46,6,54,"1.0",44
4201000000002018070100,420100000000,2018-07-01 00:00:00,2018,7,1,76,22,36,5,131,"1.0",25
4201000000002018070200,420100000000,2018-07-02 00:00:00,2018,7,2,52,33,50,4,96,1.2,41
4201000000002018070300,420100000000,2018-07-03 00:00:00,2018,7,3,57,35,56,4,83,1.2,45
