id;division_code;data_time;year;month;day;hour;datas;create_time;modify_time;calculate_time
4201000000002023040510;420100000000;2023-04-05 11:00:00;2023;4;5;10;"{""aqi"": 35, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 109, ""a21004"": 14, ""a21005"": 0.6, ""a21026"": 7, ""a34002"": 20, ""a34004"": 12, ""V_a05024"": 109, ""V_a21004"": 14, ""V_a21005"": 0.6, ""V_a21026"": 7, ""V_a34002"": 20, ""V_a34004"": 12, ""v_a05024"": 109, ""v_a21004"": 14, ""v_a21005"": 0.6, ""v_a21026"": 7, ""v_a34002"": 20, ""v_a34004"": 12, ""main_pollutants"": [""""]}";2023-04-05 14:02:07;2023-04-05 14:02:07;2023-04-05 10:00:00
4201000000002023040511;420100000000;2023-04-05 12:00:00;2023;4;5;11;"{""aqi"": 37, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 117, ""a21004"": 14, ""a21005"": 0.6, ""a21026"": 7, ""a34002"": 21, ""a34004"": 14, ""V_a05024"": 117, ""V_a21004"": 14, ""V_a21005"": 0.6, ""V_a21026"": 7, ""V_a34002"": 21, ""V_a34004"": 14, ""v_a05024"": 117, ""v_a21004"": 14, ""v_a21005"": 0.6, ""v_a21026"": 7, ""v_a34002"": 21, ""v_a34004"": 14, ""main_pollutants"": [""""]}";2023-04-05 15:02:04;2023-04-05 15:02:04;2023-04-05 11:00:00
4201000000002023040512;420100000000;2023-04-05 13:00:00;2023;4;5;12;"{""aqi"": 38, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 120, ""a21004"": 13, ""a21005"": 0.6, ""a21026"": 7, ""a34002"": 23, ""a34004"": 15, ""V_a05024"": 120, ""V_a21004"": 13, ""V_a21005"": 0.6, ""V_a21026"": 7, ""V_a34002"": 23, ""V_a34004"": 15, ""v_a05024"": 120, ""v_a21004"": 13, ""v_a21005"": 0.6, ""v_a21026"": 7, ""v_a34002"": 23, ""v_a34004"": 15, ""main_pollutants"": [""""]}";2023-04-05 16:02:18;2023-04-05 16:02:18;2023-04-05 12:00:00
4201000000002023040513;420100000000;2023-04-05 14:00:00;2023;4;5;13;"{""aqi"": 38, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 121, ""a21004"": 14, ""a21005"": 0.5, ""a21026"": 7, ""a34002"": 21, ""a34004"": 14, ""V_a05024"": 121, ""V_a21004"": 14, ""V_a21005"": 0.5, ""V_a21026"": 7, ""V_a34002"": 21, ""V_a34004"": 14, ""v_a05024"": 121, ""v_a21004"": 14, ""v_a21005"": 0.5, ""v_a21026"": 7, ""v_a34002"": 21, ""v_a34004"": 14, ""main_pollutants"": [""""]}";2023-04-05 17:02:05;2023-04-05 17:02:05;2023-04-05 13:00:00
4201000000002023040514;420100000000;2023-04-05 15:00:00;2023;4;5;14;"{""aqi"": 38, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 119, ""a21004"": 15, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 18, ""a34004"": 16, ""V_a05024"": 119, ""V_a21004"": 15, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 18, ""V_a34004"": 16, ""v_a05024"": 119, ""v_a21004"": 15, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 18, ""v_a34004"": 16, ""main_pollutants"": [""""]}";2023-04-05 18:02:08;2023-04-05 18:02:08;2023-04-05 14:00:00
4201000000002023040515;420100000000;2023-04-05 16:00:00;2023;4;5;15;"{""aqi"": 37, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 116, ""a21004"": 16, ""a21005"": 0.5, ""a21026"": 6, ""a34002"": 20, ""a34004"": 12, ""V_a05024"": 116, ""V_a21004"": 16, ""V_a21005"": 0.5, ""V_a21026"": 6, ""V_a34002"": 20, ""V_a34004"": 12, ""v_a05024"": 116, ""v_a21004"": 16, ""v_a21005"": 0.5, ""v_a21026"": 6, ""v_a34002"": 20, ""v_a34004"": 12, ""main_pollutants"": [""""]}";2023-04-05 19:02:03;2023-04-05 19:02:03;2023-04-05 15:00:00
4201000000002023040516;420100000000;2023-04-05 17:00:00;2023;4;5;16;"{""aqi"": 35, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 110, ""a21004"": 18, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 18, ""a34004"": 13, ""V_a05024"": 110, ""V_a21004"": 18, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 18, ""V_a34004"": 13, ""v_a05024"": 110, ""v_a21004"": 18, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 18, ""v_a34004"": 13, ""main_pollutants"": [""""]}";2023-04-05 20:02:03;2023-04-05 20:02:03;2023-04-05 16:00:00
4201000000002023040517;420100000000;2023-04-05 18:00:00;2023;4;5;17;"{""aqi"": 34, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 106, ""a21004"": 17, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 20, ""a34004"": 13, ""V_a05024"": 106, ""V_a21004"": 17, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 20, ""V_a34004"": 13, ""v_a05024"": 106, ""v_a21004"": 17, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 20, ""v_a34004"": 13, ""main_pollutants"": [""""]}";2023-04-05 21:02:11;2023-04-05 21:02:11;2023-04-05 17:00:00
4201000000002023040518;420100000000;2023-04-05 19:00:00;2023;4;5;18;"{""aqi"": 32, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 100, ""a21004"": 18, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 22, ""a34004"": 13, ""V_a05024"": 100, ""V_a21004"": 18, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 22, ""V_a34004"": 13, ""v_a05024"": 100, ""v_a21004"": 18, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 22, ""v_a34004"": 13, ""main_pollutants"": [""""]}";2023-04-05 22:01:58;2023-04-05 22:01:58;2023-04-05 18:00:00
4201000000002023040519;420100000000;2023-04-05 20:00:00;2023;4;5;19;"{""aqi"": 31, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 98, ""a21004"": 18, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 22, ""a34004"": 13, ""V_a05024"": 98, ""V_a21004"": 18, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 22, ""V_a34004"": 13, ""v_a05024"": 98, ""v_a21004"": 18, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 22, ""v_a34004"": 13, ""main_pollutants"": [""""]}";2023-04-05 23:02:01;2023-04-05 23:02:01;2023-04-05 19:00:00
